INPUT:question_id	INPUT:question
11227809	"Why is processing a sorted array faster than processing an unsorted array?

Here is a piece of C++ code that shows some very peculiar behavior.
For some reason, sorting the data (before the timed region) miraculously makes the primary loop almost six times faster:
#include <algorithm>
#include <ctime>
#include <iostream>

int main()
{
    // Generate data
    const unsigned arraySize = 32768;
    int data[arraySize];

    for (unsigned c = 0; c < arraySize; ++c)
        data[c] = std::rand() % 256;

    // !!! With this, the next loop runs faster.
    std::sort(data, data + arraySize);

    // Test
    clock_t start = clock();
    long long sum = 0;
    for (unsigned i = 0; i < 100000; ++i)
    {
        for (unsigned c = 0; c < arraySize; ++c)
        {   // Primary loop.
            if (data[c] >= 128)
                sum += data[c];
        }
    }

    double elapsedTime = static_cast<double>(clock()-start) / CLOCKS_PER_SEC;

    std::cout << elapsedTime << '\n';
    std::cout << ""sum = "" << sum << '\n';
}


Without std::sort(data, data + arraySize);, the code runs in 11.54 seconds.
With the sorted data, the code runs in 1.93 seconds.

(Sorting itself takes more time than this one pass over the array, so it's not actually worth doing if we needed to calculate this for an unknown array.)

Initially, I thought this might be just a language or compiler anomaly, so I tried Java:
import java.util.Arrays;
import java.util.Random;

public class Main
{
    public static void main(String[] args)
    {
        // Generate data
        int arraySize = 32768;
        int data[] = new int[arraySize];

        Random rnd = new Random(0);
        for (int c = 0; c < arraySize; ++c)
            data[c] = rnd.nextInt() % 256;

        // !!! With this, the next loop runs faster
        Arrays.sort(data);

        // Test
        long start = System.nanoTime();
        long sum = 0;
        for (int i = 0; i < 100000; ++i)
        {
            for (int c = 0; c < arraySize; ++c)
            {   // Primary loop.
                if (data[c] >= 128)
                    sum += data[c];
            }
        }

        System.out.println((System.nanoTime() - start) / 1000000000.0);
        System.out.println(""sum = "" + sum);
    }
}

With a similar but less extreme result.

My first thought was that sorting brings the data into the cache, but that's silly because the array was just generated.

What is going on?
Why is processing a sorted array faster than processing an unsorted array?

The code is summing up some independent terms, so the order should not matter.

Related / follow-up Q&As about the same effect with different/later compilers and options:

Why is processing an unsorted array the same speed as processing a sorted array with modern x86-64 clang?
gcc optimization flag -O3 makes code slower than -O2

"
927358	"How do I undo the most recent local commits in Git?

I accidentally committed the wrong files to Git, but didn't push the commit to the server yet.

How do I undo those commits from the local repository?

"
2003505	"How do I delete a Git branch locally and remotely?

Failed Attempts to Delete a Remote Branch:
$ git branch -d remotes/origin/bugfix
error: branch 'remotes/origin/bugfix' not found.

$ git branch -d origin/bugfix
error: branch 'origin/bugfix' not found.

$ git branch -rd origin/bugfix
Deleted remote branch origin/bugfix (was 2a14ef7).

$ git push
Everything up-to-date

$ git pull
From github.com:gituser/gitproject

* [new branch] bugfix -> origin/bugfix
Already up-to-date.

How do I properly delete the remotes/origin/bugfix branch both locally and remotely?
"
292357	"What is the difference between 'git pull' and 'git fetch'?

What are the differences between git pull and git fetch?
"
231767	"What does the ""yield"" keyword do?

What is the use of the yield keyword in Python? What does it do?
For example, I'm trying to understand this code1:
def _get_child_candidates(self, distance, min_dist, max_dist):
    if self._leftchild and distance - max_dist < self._median:
        yield self._leftchild
    if self._rightchild and distance + max_dist >= self._median:
        yield self._rightchild  

And this is the caller:
result, candidates = [], [self]
while candidates:
    node = candidates.pop()
    distance = node._get_dist(obj)
    if distance <= max_dist and distance >= min_dist:
        result.extend(node._values)
    candidates.extend(node._get_child_candidates(distance, min_dist, max_dist))
return result

What happens when the method _get_child_candidates is called?
Is a list returned? A single element? Is it called again? When will subsequent calls stop?


1. This piece of code was written by Jochen Schulz (jrschulz), who made a great Python library for metric spaces. This is the link to the complete source: Module mspace. 
"
477816	"Which JSON content type do I use?

There are many ""standards"" for the JSON content type:
application/json
application/x-javascript
text/javascript
text/x-javascript
text/x-json

Which one do I use, and where? I assume security and browser support issues are a factor.
Related: What MIME type if JSON is being returned by a REST API?
"
5767325	"How can I remove a specific item from an array?

How do I remove a specific value from an array? Something like:
array.remove(value);

I have to use core JavaScript. Frameworks are not allowed.
"
6591213	"How do I rename a local Git branch?

How do I rename a local branch which has not yet been pushed to a remote repository?
Related:

Rename master branch for both local and remote Git repositories
How do I rename both a Git local and remote branch name?

"
348170	"How do I undo 'git add' before commit?

I mistakenly added files to Git using the command:
git add myfile.txt

I have not yet run git commit. How do I undo this so that these changes will not be included in the commit?
"
1642028	"What is the ""-->"" operator in C++?

After reading Hidden Features and Dark Corners of C++/STL on comp.lang.c++.moderated, I was completely surprised that the following snippet compiled and worked in both Visual Studio 2008 and G++ 4.4.
Here's the code:
#include <stdio.h>
int main()
{
    int x = 10;
    while (x --> 0) // x goes to 0
    {
        printf(""%d "", x);
    }
}

Output:
9 8 7 6 5 4 3 2 1 0

I'd assume this is C, since it works in GCC as well. Where is this defined in the standard, and where has it come from?
"
244777	"Can comments be used in JSON?

Can I use comments inside a JSON file? If so, how?
"
79923	"What and where are the stack and heap?


What are the stack and heap?
Where are they located physically in a computer's memory?
To what extent are they controlled by the OS or language run-time?
What is their scope?
What determines their sizes?
What makes one faster?

"
1125968	"How do I force ""git pull"" to overwrite local files?

How do I force an overwrite of local files on a git pull? My local repository contains a file of the same filename as on the server.

error: Untracked working tree file 'example.txt' would be overwritten by merge

"
8318911	"Why does HTML think “chucknorris” is a color?

Why do certain random strings produce colors when entered as background colors in HTML?
For example, bgcolor=""chucknorris"" produces a red background:


<body bgcolor=""chucknorris""> test </body>



Conversely,  bgcolor=""chucknorr"" produces a yellow background:


<body bgcolor=""chucknorr""> test </body>



This holds true across various browsers and platforms. What’s going on here?
"
178325	"How do I check if an element is hidden in jQuery?

How do I toggle the visibility of an element using  .hide(), .show(), or .toggle()?
How do I test if an element is visible or hidden?
"
1335851	"What does ""use strict"" do in JavaScript, and what is the reasoning behind it?

Recently, I ran some of my JavaScript code through Crockford's JSLint, and it gave the following error:

Problem at line 1 character 1: Missing ""use strict"" statement.

Doing some searching, I realized that some people add ""use strict""; into their JavaScript code. Once I added the statement, the error stopped appearing. Unfortunately, Google did not reveal much of the history behind this string statement. Certainly it must have something to do with how the JavaScript is interpreted by the browser, but I have no idea what the effect would be.
So what is ""use strict""; all about, what does it imply, and is it still relevant?
Do any of the current browsers respond to the ""use strict""; string or is it for future use?
"
1783405	"How do I check out a remote Git branch?

Somebody pushed a branch called test with git push origin test to a shared repository. I can see the branch with git branch -r. How do I check out the remote test branch? I've tried:

git checkout test, which does nothing
git checkout origin/test gives * (no branch)

"
419163	"What does if __name__ == ""__main__"": do?

What does this do, and why should one include the if statement?
if __name__ == ""__main__"":
    print(""Hello, World!"")


If you are trying to close a question where someone should be using this idiom and isn't, consider closing as a duplicate of Why is Python running my module when I import it, and how do I stop it? instead. For questions where someone simply hasn't called any functions, or incorrectly expects a function named main to be used as an entry point automatically, use Why doesn't the main() function run when I start a Python script? Where does the script start running?.
"
61212	"How do I remove local (untracked) files from the current Git working tree?

How do I delete untracked local files from the current working tree?
"
503093	"How do I redirect to another webpage?

How can I redirect the user from one page to another using jQuery or pure JavaScript?
"
179123	"How to modify existing, unpushed commit messages?

I wrote the wrong thing in a commit message.

How can I change the message? The commit has not been pushed yet.
"
111102	"How do JavaScript closures work?

How would you explain JavaScript closures to someone with a knowledge of the concepts they consist of (for example functions, variables and the like), but does not understand closures themselves?

I have seen the Scheme example given on Wikipedia, but unfortunately it did not help.
"
1274057	"How do I make Git forget about a file that was tracked, but is now in .gitignore?

I put a file that was previously being tracked by Git onto the .gitignore list. However, the file still shows up in git status after it is edited. How do I force Git to completely forget the file?
"
4114095	"How do I revert a Git repository to a previous commit?

How do I revert from my current state to a snapshot made on a certain commit?

If I do git log, then I get the following output:

$ git log
commit a867b4af366350be2e7c21b8de9cc6504678a61b`
Author: Me <me@me.com>
Date:   Thu Nov 4 18:59:41 2010 -0400

blah blah blah...

commit 25eee4caef46ae64aa08e8ab3f988bc917ee1ce4
Author: Me <me@me.com>
Date:   Thu Nov 4 05:13:39 2010 -0400

more blah blah blah...

commit 0766c053c0ea2035e90f504928f8df3c9363b8bd
Author: Me <me@me.com>
Date:   Thu Nov 4 00:55:06 2010 -0400

And yet more blah blah...

commit 0d1d7fc32e5a947fbd92ee598033d85bfc445a50
Author: Me <me@me.com>
Date:   Wed Nov 3 23:56:08 2010 -0400

Yep, more blah blah.


How do I revert to the commit from November 3, i.e. commit 0d1d7fc?
"
394809	"Does Python have a ternary conditional operator?

Is there a ternary conditional operator in Python?
"
336859	"var functionName = function() {} vs function functionName() {}

I've recently started maintaining someone else's JavaScript code. I'm fixing bugs, adding features and also trying to tidy up the code and make it more consistent.
The previous developer used two ways of declaring functions and I can't work out if there is a reason behind it or not.
The two ways are:
var functionOne = function() {
    // Some code
};


function functionTwo() {
    // Some code
}

What are the reasons for using these two different methods and what are the pros and cons of each? Is there anything that can be done with one method that can't be done with the other?
"
6841333	"Why is subtracting these two times (in 1927) giving a strange result?

If I run the following program, which parses two date strings referencing times 1 second apart and compares them:
public static void main(String[] args) throws ParseException {
    SimpleDateFormat sf = new SimpleDateFormat(""yyyy-MM-dd HH:mm:ss"");  
    String str3 = ""1927-12-31 23:54:07"";  
    String str4 = ""1927-12-31 23:54:08"";  
    Date sDt3 = sf.parse(str3);  
    Date sDt4 = sf.parse(str4);  
    long ld3 = sDt3.getTime() /1000;  
    long ld4 = sDt4.getTime() /1000;
    System.out.println(ld4-ld3);
}

The output is:
353

Why is ld4-ld3, not 1 (as I would expect from the one-second difference in the times), but 353?
If I change the dates to times 1 second later:
String str3 = ""1927-12-31 23:54:08"";  
String str4 = ""1927-12-31 23:54:09"";  

Then ld4-ld3 will be 1.

Java version:
java version ""1.6.0_22""
Java(TM) SE Runtime Environment (build 1.6.0_22-b04)
Dynamic Code Evolution Client VM (build 0.2-b02-internal, 19.0-b04-internal, mixed mode)

Timezone(`TimeZone.getDefault()`):

sun.util.calendar.ZoneInfo[id=""Asia/Shanghai"",
offset=28800000,dstSavings=0,
useDaylight=false,
transitions=19,
lastRule=null]

Locale(Locale.getDefault()): zh_CN

"
1789945	"How to check whether a string contains a substring in JavaScript?

Usually I would expect a String.contains() method, but there doesn't seem to be one. 

What is a reasonable way to check for this?
"
7074	"What is the difference between String and string in C#?

What are the differences between these two and which one should I use?
string s = ""Hello world!"";
String s = ""Hello world!"";

"
208105	"How do I remove a property from a JavaScript object?

Given an object:
let myObject = {
  ""ircEvent"": ""PRIVMSG"",
  ""method"": ""newURI"",
  ""regex"": ""^http://.*""
};

How do I remove the property regex to end up with the following myObject?
let myObject = {
  ""ircEvent"": ""PRIVMSG"",
  ""method"": ""newURI""
};

"
100003	"What are metaclasses in Python?

What are metaclasses? What are they used for?
"
16956810	"How to find all files containing specific text (string) on Linux?

How do I find all files containing a specific string of text within their file contents?
The following doesn't work. It seems to display every single file in the system.
find / -type f -exec grep -H 'text-to-find-here' {} \;

"
38987	"How do I merge two dictionaries in a single expression?

I want to merge two dictionaries into a new dictionary.
x = {'a': 1, 'b': 2}
y = {'b': 3, 'c': 4}
z = merge(x, y)

>>> z
{'a': 1, 'b': 3, 'c': 4}

Whenever a key k is present in both dictionaries, only the value y[k] should be kept.
"
14220321	"How do I return the response from an asynchronous call?

How do I return the response/result from a function foo that makes an asynchronous request?
I am trying to return the value from the callback, as well as assigning the result to a local variable inside the function and returning that one, but none of those ways actually return the response — they all return undefined or whatever the initial value of the variable result is.
Example of an asynchronous function that accepts a callback (using jQuery's ajax function):
function foo() {
    var result;

    $.ajax({
        url: '...',
        success: function(response) {
            result = response;
            // return response; // <- I tried that one as well
        }
    });

    return result; // It always returns `undefined`
}

Example using Node.js:
function foo() {
    var result;

    fs.readFile(""path/to/file"", function(err, data) {
        result = data;
        // return data; // <- I tried that one as well
    });

    return result; // It always returns `undefined`
}

Example using the then block of a promise:
function foo() {
    var result;

    fetch(url).then(function(response) {
        result = response;
        // return response; // <- I tried that one as well
    });

    return result; // It always returns `undefined`
}

"
